# Urdu word -> IPA, as espeak-ng says it.
# Written by tools/urdu/lexbuild.py; do not edit by hand.
# 101580 words, of which 7504 had to be asked one at a time.
؁	sˈan
آشیان	ˈaːʃjaːn
آشیانوں	ˈaːʃjaːnˌõː
آشیانہ	ˈaːʃjaːna
آشیانی	ˈaːʃjaːnˌiː
آشیانیاں	aːʃjˈaːnjãː
آشیانیوں	ˈaːʃjaːnˌiõː
آشیانے	ˈaːʃjaːnˌeː
آشیاں	ˈaːʃjãː
آشیرباد	ˌaːʃirbˈaːd
آشیربچن	aːʃˈiːrəbˌəcən
آشیرواد	aːʃˈiːrʋaːd
آصال	aːʂˈaːl
آصف	ˈaːʂɪf
آصفہ	ˈaːʂəfa
آصفی	ˈaːʂfˌiː
آصفیہ	ˌaːʂfˈiːa
آغا	ˈaːɣaː
آغاؤں	ˌaːɣaːˈoːn
آغاز	aːɣˈaːz
آغازوں	aːɣˈaːzõː
آغال	aːɣˈaːl
آغالیں	aːɣˈaːlẽː
آغامینا	ˌaːɣaːmˈiːnaː
آغانی	aːɣˈaːni
آغر	ˈaːɣər
آغشتوں	aːɣˈʌʃtõː
آغشتگان	ˌaːɣəʃtəɡˈaːn
آغشتہ	aːɣˈʌʃta
آغل	ˈaːɣəl
آغوش	aːɣˈoːʃ
آغوشوں	aːɣˈoːʃõː
آغوشی	aːɣˈoːʃi
آغوشیوں	aːɣˈoːʃiˌõː
آغوشیں	aːɣˈoːʃẽː
آغوں	ˈaːɣõː
آف	ˈaːf
آفات	ˌaːfˈaːt
آفاق	aːfˈaːq
آفاقی	aːfˈaːqi
آفاقیت	ˌaːfaːqiˈat
آفاقیتیں	ˌaːfaːqiˈatẽː
آفت	ˈaːfət
آفتاب	ˌaːftˈaːb
آفتابستان	ˌaːftˌaːbɪstˈaːn
آفتابو	ˌaːftˈaːboː
آفتابوں	ˌaːftˈaːbõː
آفتابچی	ˌaːftˈaːbcˌiː
آفتابچیاں	ˌaːftaːbˈʌcjãː
آفتابچیوں	ˌaːftˈaːbcˌiõː
آفتابہ	ˌaːftˈaːbˌa
آفتابی	ˌaːftˈaːbi
آفتابیاں	ˌaːftˈaːbjãː
آفتابیوں	ˌaːftˈaːbiˌõː
آفتابے	ˌaːftˈaːbeː
آفتاوا	ˌaːftˈaːʋaː
آفتاوے	ˌaːftˈaːʋeː
آفتو	ˈaːftˌoː
آفتوں	ˈaːftˌõː
آفتی	ˈaːftˌiː
آفتیوں	ˈaːftˌiõː
آفتیں	ˈaːftˌẽː
آفتیے	aːfˈʌtjeː
آفدہ	ˈaːfdˌa
آفذ	ˈaːfəz
آفر	ˈaːfər
آفرز	aːfˈʌrz
آفروزہ	ˌaːfrˈoːzˌa
آفروں	ˈaːfrˌõː
آفری	ˈaːfrˌiː
آفریدوں	ˌaːfrˈiːdõː
آفریدگار	ˌaːfrˌiːdɡˈaːr
آفریدگاروں	ˌaːfrˌiːdɡˈaːrõː
آفریدگاری	ˌaːfrˌiːdɡˈaːri
آفریدگاریاں	ˌaːfrˌiːdɡˈaːrjãː
آفریدگان	ˌaːfrˌiːdɡˈaːn
آفریدہ	ˌaːfrˈiːda
آفریدی	ˌaːfrˈiːdi
آفریدیو	ˌaːfridˈeːoː
آفریدیوں	ˌaːfrˈiːdiˌõː
آفرین	ˌaːfrˈiːn
آفرینش	ˌaːfrˈiːnəʃ
آفرینندوں	ˌaːfrinˈʌndõː
آفرینندگان	ˌaːfrˌiːnəndəɡˈaːn
آفرینندہ	ˌaːfrinˈʌnda
آفرینوں	ˌaːfrˈiːnõː
آفرینی	ˌaːfrˈiːni
آفرینیں	ˌaːfrˈiːnẽː
آفریں	ˈaːfrĩː
